,matches
46889,"[(46008, 0.7247078627374633), (25546, 0.7184063010636516), (19082, 0.7080181097793992), (35596, 0.7024491770594419), (16294, 0.699788049692445), (56189, 0.6986243578652186), (1716, 0.6933082422189215), (6059, 0.6922896407448684), (47061, 0.6896939721346643), (52359, 0.6877281726146908), (9361, 0.6872727567773943), (7896, 0.6867420740133299), (2200, 0.6859982468535543), (21373, 0.6853398298714155), (23932, 0.6846621595315145), (34196, 0.6845805815242553), (54182, 0.6830394906282068), (27476, 0.6819404432885832), (38737, 0.6818473868393784), (59377, 0.6800443135832824), (22397, 0.6787978915700157), (50811, 0.6766495399997987), (37078, 0.6748062461883477), (41455, 0.6738818088376934), (5719, 0.6706385271546715), (51999, 0.6695278860301899), (13443, 0.6677838694995538), (36089, 0.6675182542535268), (57149, 0.6663209697557472), (19250, 0.6652907850009391), (53878, 0.664988425591196), (28494, 0.6648030238787901), (25742, 0.6644911711220295), (42615, 0.6631407275137184), (12000, 0.6597149887238741), (49288, 0.6570765497693193), (21108, 0.6567816732801707), (46838, 0.65609729667598), (26403, 0.6560750527687441), (36399, 0.6547667048730338), (21932, 0.6527826104753527), (33405, 0.6509680585990486)]"
21070,"[(33722, 0.749466878916032), (4958, 0.7482386177062688), (39532, 0.7399854489966508), (9361, 0.7329622998678325), (30430, 0.7304271940928239), (43999, 0.7290848309765529), (27003, 0.7248965274372341), (7896, 0.7221200744759261), (17136, 0.717862506024242), (49347, 0.7156820905573326), (49806, 0.7149820215169771), (47061, 0.7135840961957064), (54760, 0.713456352088579), (58123, 0.7088658966992193), (18299, 0.7067680123986656), (11781, 0.7049905756230708), (55791, 0.7007860362729587), (24266, 0.6960205901995838), (21701, 0.6928001338144665), (40545, 0.6922950981933477), (24319, 0.6907860266939122), (28063, 0.6900398459113978), (15248, 0.6885462088724063), (22270, 0.6872652140043912), (48244, 0.6861317057084525), (9519, 0.685881607386817), (2200, 0.6849405142337566), (8988, 0.6847605249453783), (34785, 0.6843129547334182), (13685, 0.6836987604449655), (39123, 0.6833349413833176), (34, 0.6827707365696198), (1970, 0.6783499185989194), (44952, 0.6782772040178578), (24834, 0.6782435585300911), (3542, 0.678099493852134), (5719, 0.677607949898153), (37839, 0.6771023075455798), (45656, 0.676181126623283), (32231, 0.6758616167146746), (21108, 0.6758253223886019), (17701, 0.67427937505381), (13374, 0.6735030437964352), (41567, 0.6731608096443115), (6307, 0.6724989132008602), (55352, 0.6720411113204008), (58941, 0.6718201411789608), (12790, 0.6715573837859398), (15560, 0.6711856595923197), (1637, 0.6705993410683956), (44015, 0.6705852164813768), (52016, 0.6700139629108041), (47730, 0.6699385159061425), (5340, 0.6693878923375116), (37078, 0.6691036111164996), (49826, 0.6686050398388395), (43889, 0.6685547199046784), (31950, 0.6667030918338508), (27861, 0.6661526721243035), (1419, 0.6657470405768862), (8920, 0.6652847638298484), (50670, 0.6650862264619573), (2864, 0.6635890316400639), (19250, 0.6618519805528481), (29124, 0.6617341542558777), (26240, 0.6616763480367898), (41740, 0.6612746480159356), (13106, 0.6611309323751169), (31185, 0.6610493210220109), (56681, 0.6605639005146274), (49499, 0.6598164597820466), (19161, 0.6597176340767655), (49658, 0.6587199500367484), (51102, 0.6586637404501299), (31247, 0.6578903513755815), (50678, 0.6576192446163355), (22814, 0.6575764757050968), (36137, 0.6570348385549062), (31563, 0.6569865247427877), (47995, 0.6565889583547182), (28723, 0.6564529995910726), (43954, 0.6560790198862896), (59208, 0.6555762355448869), (5417, 0.6555361446262337), (11887, 0.6554873695243494), (37723, 0.655222063408371), (10515, 0.6543010904249734), (12000, 0.6541656680668805), (40370, 0.6524657757024137), (58598, 0.6518739502506415), (28862, 0.6518574553060743), (9008, 0.6518158922343171), (21364, 0.6512104870587726), (37113, 0.651023816363298), (22397, 0.6507954776549134)]"
59841,"[(28969, 0.6724371271903129)]"
17014,"[(21063, 0.6669566864166054)]"
14367,[]
50430,[]
1779,"[(12900, 0.6840465425776014)]"
21240,[]
1023,[]
12706,"[(41904, 0.7125966833964507), (19515, 0.6656984936537096), (4801, 0.6636425129511215), (14721, 0.6603326407322878), (22288, 0.6541438341704692), (33603, 0.6514026435857831)]"
